Values
4729120
2036260
1457380
1241740
1107940
914840
660320
595280
550800
503920
468740
433120
414360
402840
400460
386440
382740
378460
369340
365940
363500
356160
328360
322160
322060
320180
319100
310120
302000
298500
295860
291760
287340
280520
280300
275300
274780
269580
265940
262140
254380
253740
252820
251620
241320
240300
238260
234360
230800
227460
222540
221580
220880
220140
218160
216880
213620
212120
211840
211720
206100
205240
202240
199280
196640
196380
196020
195360
193020
192980
191560
191560
191340
186460
186240
182780
182440
181760
178760
176500
175700
175220
174600
174160
172640
170240
167380
167020
166120
165400
165120
164220
163700
163160
159800
157660
157160
156180
154560
154240
153960
153300
151220
151220
146400
145960
145280
142000
141000
140460
135980
135700
135360
135040
131380
131220
129400
127580
125940
125200
122840
121960
121140
120020
120020
119380
118340
117540
116780
116440
116340
114880
114640
112840
112080
111840
110800
109020
105860
105780
105200
101860
99400
97620
97600
96960
96800
96020
95560
95500
95320
95300
94280
91460
91120
90500
89400
89020
88880
88400
86660
85080
84600
83840
80920
80560
80380
78440
78000
77420
77120
76900
75240
75100
74360
73120
73020
72800
72780
72620
72380
70360
69860
69680
69480
69220
68200
68080
66200
66040
65940
65820
65760
65660
64100
64020
63860
62120
60420
59840
59780
58780
58660
58240
58160
58120
57560
57260
56040
55960
55920
55280
54340
54080
53600
53500
53480
53100
53080
52740
48880
48460
47740
47620
47580
47580
47500
47280
47260
46340
45820
45380
45080
44440
43640
43640
43360
42380
42180
40640
40600
39620
39560
39420
39380
39140
39000
38720
38620
38520
38260
37280
36620
36180
35560
34880
34880
34840
34700
34520
34500
34220
34100
34040
33300
33160
33040
32440
32360
31700
31580
31560
31420
31140
30280
29620
29080
28980
28680
28580
27920
27900
27200
26720
26100
25480
25360
24980
24900
24700
24500
24480
24200
23980
23740
23640
23500
23040
22960
22820
22280
21660
21640
21620
21580
21580
21320
21260
20460
20140
20100
19800
19660
19600
19080
18720
18580
18460
18260
18040
17420
17340
16600
15080
14980
14960
14940
14920
14040
13860
13600
13020
12940
12840
12760
12640
12620
12500
12460
12140
12080
12000
11940
11860
11760
11340
11180
10980
10800
10800
10760
10760
10680
10480
10400
10260
10020
9980
9900
9900
9700
9660
9540
9420
9380
9160
8960
8820
8800
8800
8600
8200
8000
7560
7560
7500
7480
7420
6840
6640
6600
6500
6500
6420
6340
6280
6200
6100
6060
6020
5960
5880
5600
5580
5480
5420
5220
5140
5120
5080
4900
4700
4680
4680
4580
4580
4340
4300
4260
4100
4080
3880
3880
3820
3800
3720
3640
3580
3540
3440
3260
3200
3200
3140
3100
3100
3000
3000
2960
2940
2920
2740
2720
2640
2620
2600
2580
2580
2480
2480
2460
2460
2440
2400
2380
2340
2320
2320
2260
2260
2240
2140
2120
2120
2080
2080
2040
2000
1980
1960
1960
1940
1940
1780
1760
1740
1700
1700
1700
1640
1620
1580
1540
1540
1500
1460
1460
1440
1420
1400
1360
1360
1340
1320
1320
1300
1300
1300
1280
1220
1180
1180
1180
1140
1140
1100
1080
1080
1060
1060
1040
1040
1020
980
960
940
940
920
920
920
920
920
920
900
880
840
740
720
720
660
660
640
640
620
600
580
560
540
500
460
460
460
400
360
340
320
320
280
240
220
220
200
200
160
140
120
120
